State;ACTION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;GOTO;;;;;;;;;;;;;;;;;;;;;;
;begin;end;whileLoop;forLoop;";";char;id;=;string;int;numInt;float;numFloat;bool;while;(;);{;};for;:;if;else;opArith;ExpLog;opLog;!;TRUE;FALSE;input;output;+;-;*;/;%;$;Prog;Code;Inst;VarDclr;Dchar;Dint;Dfloat;Dbool;WhileLoop;ForLoop;IfCond;IfElseCond;Cond;A;Aff;Input;Output;Message;ExpArith;T;X;Z;F
39;;;;;s65;;;s66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;;;;;s67;;;s68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;;;;;s69;;;s70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;;;s7;s8;;s20;s19;;;s21;;s22;;s23;;;;;r2;;;s16;;;;;;;;s17;s18;;;;;;;;71;3;4;12;13;14;15;;;5;6;;;11;9;10;;;;;;
43;;;;;;;;;;;;;;;;;s72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;;;;s73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;;;;;r30;;;;;;;;;;;;r30;;;;;;;;;s75;;;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;;;;
46;;;;;;;s54;;;;s52;;s53;;;s46;;;;;;;;;s45;;s47;s48;s49;;;;;;;;;;;;;;;;;;;;;76;;;;;;77;50;;;51
47;;;;;;;s54;;;;s52;;s53;;;s46;;;;;;;;;s45;;s47;s48;s49;;;;;;;;;;;;;;;;;;;;;78;;;;;;44;50;;;51
48;;;;;r33;;;;;;;;;;;;r33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;;;;;r34;;;;;;;;;;;;r34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;;;;;r46;;;;;;;;;;;;r46;;;;;;;r46;;;;;;;;s80;s81;;;;;;;;;;;;;;;;;;;;;;;;;79;;
51;;;;;r50;;;;;;;;;;;;r50;;;;;;;r50;;;;;;;;r50;r50;s83;s84;s85;;;;;;;;;;;;;;;;;;;;;;;82;
52;;;;;r52;;;;;;;;;;;;r52;;;;;;;r52;;;;;;;;r52;r52;r52;r52;r52;;;;;;;;;;;;;;;;;;;;;;;;
53;;;;;r53;;;;;;;;;;;;r53;;;;;;;r53;;;;;;;;r53;r53;r53;r53;r53;;;;;;;;;;;;;;;;;;;;;;;;
54;;;;;r54;;;;;;;;;;;;r54;;;;;;;r54;;;;;;;;r54;r54;r54;r54;r54;;;;;;;;;;;;;;;;;;;;;;;;
55;;;;;r38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;;;s86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;;;;r40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;r41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;50;;;51
60;;;;;r35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;;;;;r36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;;;;;r37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;;;;;;r15;;;;r15;;r15;;r15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;;;s88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;;;;;;r17;;;;r17;;r17;;r17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;s89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;;;;;;r19;;;;r19;;r19;;r19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;s90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;;;;;;r21;;;;r21;;r21;;r21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;;;;;;;s54;;;;s52;;s53;;;s46;;;;;;;;;s45;;s47;s48;s49;;;;;;;;;;;;;;;;;;;;;91;;;;;;44;50;;;51
71;;;;;;;;;;;;;;;;;;;s92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;s93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;s54;;;;s52;;s53;;;s59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94;50;;;51
74;;;;;r28;;;;;;;;;;;;r28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;;;;;s95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;s96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;s97;;;;;;;s73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;;;;;r32;;;;;;;;;;;;r32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
